Authors	Journal	PMID	Pages	Volume	Year	Citation	Title	PMCID
C Cheng, KK Yan, W Hwang, J Qian, N Bhardwaj, J Rozowsky, ZJ Lu, W Niu, P Alves, M Kato, M Snyder, M Gerstein	PLoS Comput Biol	22125477	e1002190	7	2011	(2011). <i>PLoS Comput Biol</i>&nbsp;7:e1002190.	Construction and analysis of an integrated regulatory network derived from high-throughput sequencing data.	PMC3219617
C Cheng, C Shou, KY Yip, MB Gerstein	Genome Biol	22060676	R111	12	2012	(2012). <i>Genome Biol</i>&nbsp;12:R111.	Genome-wide analysis of chromatin features identifies histone modification sensitive and insensitive yeast transcription factors.	PMC3334597
D Greenbaum, M Gerstein	Am J Bioeth	22047125	39-41	11	2011	(2011). <i>Am J Bioeth</i>&nbsp;11:39-41.	The role of cloud computing in managing the deluge of potentially private genetic data.	
C Cheng, R Min, M Gerstein	Bioinformatics	22039215	3221-7	27	2011	(2011). <i>Bioinformatics</i>&nbsp;27:3221-7.	TIP: a probabilistic method for identifying transcription factor target genes from ChIP-seq binding profiles.	PMC3223362
SC Flores, MB Gerstein	BMC Bioinformatics	22032721	417	12	2011	(2011). <i>BMC Bioinformatics</i>&nbsp;12:417.	Predicting protein ligand binding motions with the conformation explorer.	PMC3354956
KY Yip, L Utz, S Sitwell, X Hu, SS Sidhu, BE Turk, M Gerstein, PM Kim	BMC Biol	21835011	53	9	2011	(2011). <i>BMC Biol</i>&nbsp;9:53.	Identification of specificity determining residues in peptide recognition domains using an information theoretic approach applied to large-scale binding maps.	PMC3224579
C Cheng, M Gerstein	Nucleic Acids Res	21926158	553-68	40	2012	(2012). <i>Nucleic Acids Res</i>&nbsp;40:553-68.	Modeling the relative relationship of transcription factor binding and histone modifications to gene expression levels in mouse embryonic stem cells.	PMC3258143
MR Tanas, A Sboner, AM Oliveira, MR Erickson-Johnson, J Hespelt, PJ Hanwright, J Flanagan, Y Luo, K Fenwick, R Natrajan, C Mitsopoulos, M Zvelebil, BL Hoch, SW Weiss, M Debiec-Rychter, R Sciot, RB West, AJ Lazar, A Ashworth, JS Reis-Filho, CJ Lord, MB Gerstein, MA Rubin, BP Rubin	Sci Transl Med	21885404	98ra82	3	2011	(2011). <i>Sci Transl Med</i>&nbsp;3:98ra82.	Identification of a disease-defining gene fusion in epithelioid hemangioendothelioma.	
N Bhardwaj, A Abyzov, D Clarke, C Shou, MB Gerstein	Protein Sci	21826754	1745-54	20	2011	(2011). <i>Protein Sci</i>&nbsp;20:1745-54.	Integration of protein motions with molecular networks reveals different mechanisms for permanent and transient interactions.	PMC3218368
A Sboner, XJ Mu, D Greenbaum, RK Auerbach, MB Gerstein	Genome Biol	21867570	125	12	2011	(2011). <i>Genome Biol</i>&nbsp;12:125.	The real cost of sequencing: higher than you think!	PMC3245608
J Rozowsky, A Abyzov, J Wang, P Alves, D Raha, A Harmanci, J Leng, R Bjornson, Y Kong, N Kitabayashi, N Bhardwaj, M Rubin, M Snyder, M Gerstein	Mol Syst Biol	21811232	522	7	2011	(2011). <i>Mol Syst Biol</i>&nbsp;7:522.	AlleleSeq: analysis of allele-specific expression and binding in a network framework.	PMC3208341
ZD Zhang, J Du, H Lam, A Abyzov, AE Urban, M Snyder, M Gerstein	BMC Genomics	21787423	375	12	2011	(2011). <i>BMC Genomics</i>&nbsp;12:375.	Identification of genomic indels and structural variations using split reads.	PMC3161018
MB Clark, PP Amaral, FJ Schlesinger, ME Dinger, RJ Taft, JL Rinn, CP Ponting, PF Stadler, KV Morris, A Morillon, JS Rozowsky, MB Gerstein, C Wahlestedt, Y Hayashizaki, P Carninci, TR Gingeras, JS Mattick	PLoS Biol	21765801	e1000625; discussion e1001102	9	2011	(2011). <i>PLoS Biol</i>&nbsp;9:e1000625; discussion e1001102.	The reality of pervasive transcription.	PMC3134446
KK Yan, M Gerstein	PLoS One	21603617	e19917	6	2011	(2011). <i>PLoS One</i>&nbsp;6:e19917.	The spread of scientific information: insights from the web usage statistics in PLoS article-level metrics.	PMC3095621
XJ Mu, ZJ Lu, Y Kong, HY Lam, MB Gerstein	Nucleic Acids Res	21596777	7058-76	39	2011	(2011). <i>Nucleic Acids Res</i>&nbsp;39:7058-76.	Analysis of genomic variation in non-coding elements using population-scale sequencing data from the 1000 Genomes Project.	PMC3167619
D Greenbaum, M Gerstein	Am J Bioeth	21534147	31-2	11	2011	(2011). <i>Am J Bioeth</i>&nbsp;11:31-2.	Social considerations in research: consider them but don't use them.	
ENCODE Project Consortium	PLoS Biol	21526222	e1001046	9	2011	(2011). <i>PLoS Biol</i>&nbsp;9:e1001046.	A user's guide to the encyclopedia of DNA elements (ENCODE).	PMC3079585
J Fasolo, A Sboner, MG Sun, H Yu, R Chen, D Sharon, PM Kim, M Gerstein, M Snyder	Genes Dev	21460040	767-78	25	2011	(2011). <i>Genes Dev</i>&nbsp;25:767-78.	Diverse protein kinase interactions identified by protein microarrays reveal novel connections between cellular processes.	PMC3070938
TA Gianoulis, A Agarwal, M Snyder, MB Gerstein	Genome Biol	21453526	R32	12	2011	(2011). <i>Genome Biol</i>&nbsp;12:R32.	The CRIT framework for identifying cross patterns in systems biology and application to chemogenomics.	PMC3129682
N N&#232;gre, CD Brown, L Ma, CA Bristow, SW Miller, U Wagner, P Kheradpour, ML Eaton, P Loriaux, R Sealfon, Z Li, H Ishii, RF Spokony, J Chen, L Hwang, C Cheng, RP Auburn, MB Davis, M Domanus, PK Shah, CA Morrison, J Zieba, S Suchy, L Senderowicz, A Victorsen, NA Bild, AJ Grundstad, D Hanley, DM MacAlpine, M Mannervik, K Venken, H Bellen, R White, M Gerstein, S Russell, RL Grossman, B Ren, JW Posakony, M Kellis, KP White	Nature	21430782	527-31	471	2011	(2011). <i>Nature</i>&nbsp;471:527-31.	A cis-regulatory map of the Drosophila genome.	PMC3179250
GM Euskirchen, RK Auerbach, E Davidov, TA Gianoulis, G Zhong, J Rozowsky, N Bhardwaj, MB Gerstein, M Snyder	PLoS Genet	21408204	e1002008	7	2011	(2011). <i>PLoS Genet</i>&nbsp;7:e1002008.	Diverse roles and interactions of the SWI/SNF chromatin remodeling complex revealed using global approaches.	PMC3048368
J Jee, J Rozowsky, KY Yip, L Lochovsky, R Bjornson, G Zhong, Z Zhang, Y Fu, J Wang, Z Weng, M Gerstein	Bioinformatics	21349863	1152-4	27	2011	(2011). <i>Bioinformatics</i>&nbsp;27:1152-4.	ACT: aggregation and correlation toolbox for analyses of genome tracks.	PMC3072554
A Karpikov, J Rozowsky, M Gerstein	BMC Bioinformatics	21338513	57	12	2011	(2011). <i>BMC Bioinformatics</i>&nbsp;12:57.	Tiling array data analysis: a multiscale approach using wavelets.	PMC3055839
A Abyzov, AE Urban, M Snyder, M Gerstein	Genome Res	21324876	974-84	21	2011	(2011). <i>Genome Res</i>&nbsp;21:974-84.	CNVnator: an approach to discover, genotype, and characterize typical and atypical CNVs from family and population genome sequencing.	PMC3106330
C Cheng, KK Yan, KY Yip, J Rozowsky, R Alexander, C Shou, M Gerstein	Genome Biol	21324173	R15	12	2011	(2011). <i>Genome Biol</i>&nbsp;12:R15.	A statistical framework for modeling gene expression using chromatin features and application to modENCODE datasets.	PMC3188797
MF Berger, MS Lawrence, F Demichelis, Y Drier, K Cibulskis, AY Sivachenko, A Sboner, R Esgueva, D Pflueger, C Sougnez, R Onofrio, SL Carter, K Park, L Habegger, L Ambrogio, T Fennell, M Parkin, G Saksena, D Voet, AH Ramos, TJ Pugh, J Wilkinson, S Fisher, W Winckler, S Mahan, K Ardlie, J Baldwin, JW Simons, N Kitabayashi, TY MacDonald, PW Kantoff, L Chin, SB Gabriel, MB Gerstein, TR Golub, M Meyerson, A Tewari, ES Lander, G Getz, MA Rubin, LA Garraway	Nature	21307934	214-20	470	2011	(2011). <i>Nature</i>&nbsp;470:214-20.	The genomic complexity of primary human prostate cancer.	PMC3075885
RE Mills, K Walter, C Stewart, RE Handsaker, K Chen, C Alkan, A Abyzov, SC Yoon, K Ye, RK Cheetham, A Chinwalla, DF Conrad, Y Fu, F Grubert, I Hajirasouliha, F Hormozdiari, LM Iakoucheva, Z Iqbal, S Kang, JM Kidd, MK Konkel, J Korn, E Khurana, D Kural, HY Lam, J Leng, R Li, Y Li, CY Lin, R Luo, XJ Mu, J Nemesh, HE Peckham, T Rausch, A Scally, X Shi, MP Stromberg, AM St&#252;tz, AE Urban, JA Walker, J Wu, Y Zhang, ZD Zhang, MA Batzer, L Ding, GT Marth, G McVean, J Sebat, M Snyder, J Wang, K Ye, EE Eichler, MB Gerstein, ME Hurles, C Lee, SA McCarroll, JO Korbel, 1000 Genomes Project	Nature	21293372	59-65	470	2011	(2011). <i>Nature</i>&nbsp;470:59-65.	Mapping copy number variation by population-scale genome sequencing.	PMC3077050
C Shou, N Bhardwaj, HY Lam, KK Yan, PM Kim, M Snyder, MB Gerstein	PLoS Comput Biol	21253555	e1001050	7	2011	(2011). <i>PLoS Comput Biol</i>&nbsp;7:e1001050.	Measuring the evolutionary rewiring of biological networks.	PMC3017101
A Abyzov, M Gerstein	Bioinformatics	21233167	595-603	27	2011	(2011). <i>Bioinformatics</i>&nbsp;27:595-603.	AGE: defining breakpoints of genomic structural variants at single-nucleotide resolution, through optimal alignments with gap excision.	PMC3042181
S Balasubramanian, L Habegger, A Frankish, DG MacArthur, R Harte, C Tyler-Smith, J Harrow, M Gerstein	Genes Dev	21205862	1-10	25	2011	(2011). <i>Genes Dev</i>&nbsp;25:1-10.	Gene inactivation and its implications for annotation in the era of personal genomics.	PMC3012931
FM Vaccarino, AE Urban, HE Stevens, A Szekely, A Abyzov, EL Grigorenko, M Gerstein, S Weissman	J Child Psychol Psychiatry	21204834	504-16	52	2011	(2011). <i>J Child Psychol Psychiatry</i>&nbsp;52:504-16.	Annual Research Review: The promise of stem cell research for neuropsychiatric disorders.	PMC3124336
ZJ Lu, KY Yip, G Wang, C Shou, LW Hillier, E Khurana, A Agarwal, R Auerbach, J Rozowsky, C Cheng, M Kato, DM Miller, F Slack, M Snyder, RH Waterston, V Reinke, MB Gerstein	Genome Res	21177971	276-85	21	2011	(2011). <i>Genome Res</i>&nbsp;21:276-85.	Prediction and characterization of noncoding RNAs in C. elegans by integrating conservation, secondary structure, and high-throughput sequencing and array data.	PMC3032931
W Niu, ZJ Lu, M Zhong, M Sarov, JI Murray, CM Brdlik, J Janette, C Chen, P Alves, E Preston, C Slightham, L Jiang, AA Hyman, SK Kim, RH Waterston, M Gerstein, M Snyder, V Reinke	Genome Res	21177963	245-54	21	2011	(2011). <i>Genome Res</i>&nbsp;21:245-54.	Diverse transcription factor binding features revealed by genome-wide ChIP-seq in C. elegans.	PMC3032928
L Habegger, A Sboner, TA Gianoulis, J Rozowsky, A Agarwal, M Snyder, M Gerstein	Bioinformatics	21134889	281-3	27	2011	(2011). <i>Bioinformatics</i>&nbsp;27:281-3.	RSEQtools: a modular framework to analyze RNA-Seq data using compact, anonymized data summaries.	PMC3018817
D Pflueger, S Terry, A Sboner, L Habegger, R Esgueva, PC Lin, MA Svensson, N Kitabayashi, BJ Moss, TY MacDonald, X Cao, T Barrette, AK Tewari, MS Chee, AM Chinnaiyan, DS Rickman, F Demichelis, MB Gerstein, MA Rubin	Genome Res	21036922	56-67	21	2011	(2011). <i>Genome Res</i>&nbsp;21:56-67.	Discovery of non-ETS gene fusions in human prostate cancer using next-generation RNA sequencing.	PMC3012926
MB Gerstein, ZJ Lu, EL Van Nostrand, C Cheng, BI Arshinoff, T Liu, KY Yip, R Robilotto, A Rechtsteiner, K Ikegami, P Alves, A Chateigner, M Perry, M Morris, RK Auerbach, X Feng, J Leng, A Vielle, W Niu, K Rhrissorrakrai, A Agarwal, RP Alexander, G Barber, CM Brdlik, J Brennan, JJ Brouillet, A Carr, MS Cheung, H Clawson, S Contrino, LO Dannenberg, AF Dernburg, A Desai, L Dick, AC Dos&#233;, J Du, T Egelhofer, S Ercan, G Euskirchen, B Ewing, EA Feingold, R Gassmann, PJ Good, P Green, F Gullier, M Gutwein, MS Guyer, L Habegger, T Han, JG Henikoff, SR Henz, A Hinrichs, H Holster, T Hyman, AL Iniguez, J Janette, M Jensen, M Kato, WJ Kent, E Kephart, V Khivansara, E Khurana, JK Kim, P Kolasinska-Zwierz, EC Lai, I Latorre, A Leahey, S Lewis, P Lloyd, L Lochovsky, RF Lowdon, Y Lubling, R Lyne, M MacCoss, SD Mackowiak, M Mangone, S McKay, D Mecenas, G Merrihew, DM Miller, A Muroyama, JI Murray, SL Ooi, H Pham, T Phippen, EA Preston, N Rajewsky, G R&#228;tsch, H Rosenbaum, J Rozowsky, K Rutherford, P Ruzanov, M Sarov, R Sasidharan, A Sboner, P Scheid, E Segal, H Shin, C Shou, FJ Slack, C Slightam, R Smith, WC Spencer, EO Stinson, S Taing, T Takasaki, D Vafeados, K Voronina, G Wang, NL Washington, CM Whittle, B Wu, KK Yan, G Zeller, Z Zha, M Zhong, X Zhou, modENCODE Consortium, J Ahringer, S Strome, KC Gunsalus, G Micklem, XS Liu, V Reinke, SK Kim, LW Hillier, S Henikoff, F Piano, M Snyder, L Stein, JD Lieb, RH Waterston	Science	21177976	1775-87	330	2011	(2011). <i>Science</i>&nbsp;330:1775-87.	Integrative analysis of the Caenorhabditis elegans genome by the modENCODE project.	PMC3142569
N Bhardwaj, PM Kim, MB Gerstein	Sci Signal	21045205	ra79	3	2010	(2010). <i>Sci Signal</i>&nbsp;3:ra79.	Rewiring of transcriptional regulatory networks: hierarchy, rather than connectivity, better reflects the importance of regulators.	
X Li, TA Gianoulis, KY Yip, M Gerstein, M Snyder	Cell	21035178	639-50	143	2010	(2010). <i>Cell</i>&nbsp;143:639-50.	Extensive in vivo metabolite-protein interactions revealed by large-scale systematic analyses.	PMC3005334
ZD Zhang, MB Gerstein	BMC Bioinformatics	21034510	539	11	2010	(2010). <i>BMC Bioinformatics</i>&nbsp;11:539.	Detection of copy number variation from array intensity and sequencing read depth using a stepwise Bayesian model.	PMC2992546
1000 Genomes Project Consortium, GR Abecasis, D Altshuler, A Auton, LD Brooks, RM Durbin, RA Gibbs, ME Hurles, GA McVean	Nature	20981092	1061-73	467	2010	(2010). <i>Nature</i>&nbsp;467:1061-73.	A map of human genome variation from population-scale sequencing.	PMC3042601
A Sboner, L Habegger, D Pflueger, S Terry, DZ Chen, JS Rozowsky, AK Tewari, N Kitabayashi, BJ Moss, MS Chee, F Demichelis, MA Rubin, MB Gerstein	Genome Biol	20964841	R104	11	2011	(2011). <i>Genome Biol</i>&nbsp;11:R104.	FusionSeq: a modular framework for finding gene fusions by analyzing paired-end RNA-sequencing data.	PMC3218660
KH Cheung, M Samwald, RK Auerbach, MB Gerstein	Mol Syst Biol	20739925	403	6	2010	(2010). <i>Mol Syst Biol</i>&nbsp;6:403.	Structured digital tables on the Semantic Web: toward a structured digital literature.	PMC2950080
RP Alexander, G Fang, J Rozowsky, M Snyder, MB Gerstein	Nat Rev Genet	20628352	559-71	11	2010	(2010). <i>Nat Rev Genet</i>&nbsp;11:559-71.	Annotating non-coding regions of the genome.	
E Khurana, HY Lam, C Cheng, N Carriero, P Cayting, MB Gerstein	Nucleic Acids Res	20615899	6997-7007	38	2010	(2010). <i>Nucleic Acids Res</i>&nbsp;38:6997-7007.	Segmental duplications in the human genome reveal details of pseudogene formation.	PMC2978362
A Agarwal, D Koppstein, J Rozowsky, A Sboner, L Habegger, LW Hillier, R Sasidharan, V Reinke, RH Waterston, M Gerstein	BMC Genomics	20565764	383	11	2010	(2010). <i>BMC Genomics</i>&nbsp;11:383.	Comparison and calibration of transcriptome data from RNA-Seq and tiling arrays.	PMC3091629
ME Holford, E Khurana, KH Cheung, M Gerstein	Bioinformatics	20529940	i71-8	26	2010	(2010). <i>Bioinformatics</i>&nbsp;26:i71-8.	Using semantic web rules to reason on an ontology of pseudogenes.	PMC2881358
N Bhardwaj, MB Carson, A Abyzov, KK Yan, H Lu, MB Gerstein	PLoS Comput Biol	20523742	e1000755	6	2010	(2010). <i>PLoS Comput Biol</i>&nbsp;6:e1000755.	Analysis of combinatorial regulation: scaling of partnerships between regulators with the number of governed targets.	PMC2877725
NR Voss, M Gerstein	Nucleic Acids Res	20478824	W555-62	38	2010	(2010). <i>Nucleic Acids Res</i>&nbsp;38:W555-62.	3V: cavity, channel and cleft volume calculator and extractor.	PMC2896178
HY Lam, PM Kim, J Mok, R Tonikian, SS Sidhu, BE Turk, M Snyder, MB Gerstein	BMC Bioinformatics	20459839	243	11	2010	(2010). <i>BMC Bioinformatics</i>&nbsp;11:243.	MOTIPS: automated motif analysis for predicting targets of modular protein domains.	PMC2882932
KK Yan, G Fang, N Bhardwaj, RP Alexander, M Gerstein	Proc Natl Acad Sci U S A	20439753	9186-91	107	2010	(2010). <i>Proc Natl Acad Sci U S A</i>&nbsp;107:9186-91.	Comparing genomes to computer operating systems in terms of the topology and evolution of their regulatory control networks.	PMC2889091
PV Patel, TA Gianoulis, RD Bjornson, KY Yip, DM Engelman, MB Gerstein	Genome Res	20430783	960-71	20	2010	(2010). <i>Genome Res</i>&nbsp;20:960-71.	Analysis of membrane proteins in metagenomics: networks of correlated environmental features and protein families.	PMC2892097
Y Lee, X Yang, Y Huang, H Fan, Q Zhang, Y Wu, J Li, R Hasina, C Cheng, MW Lingen, MB Gerstein, RR Weichselbaum, HR Xing, YA Lussier	PLoS Comput Biol	20369013	e1000730	6	2010	(2010). <i>PLoS Comput Biol</i>&nbsp;6:e1000730.	Network modeling identifies molecular functions targeted by miR-204 to suppress head and neck tumor metastasis.	PMC2848541
G Fang, N Bhardwaj, R Robilotto, MB Gerstein	PLoS Comput Biol	20361041	e1000703	6	2010	(2010). <i>PLoS Comput Biol</i>&nbsp;6:e1000703.	Getting started in gene orthology and functional analysis.	PMC2845645
N Bhardwaj, KK Yan, MB Gerstein	Proc Natl Acad Sci U S A	20351254	6841-6	107	2010	(2010). <i>Proc Natl Acad Sci U S A</i>&nbsp;107:6841-6.	Analysis of diverse regulatory networks in a hierarchical context shows consistent tendencies for collaboration in the middle levels.	PMC2872381
M Kasowski, F Grubert, C Heffelfinger, M Hariharan, A Asabere, SM Waszak, L Habegger, J Rozowsky, M Shi, AE Urban, MY Hong, KJ Karczewski, W Huber, SM Weissman, MB Gerstein, JO Korbel, M Snyder	Science	20299548	232-5	328	2010	(2010). <i>Science</i>&nbsp;328:232-5.	Variation in transcription factor binding among humans.	PMC2938768
A Sboner, F Demichelis, S Calza, Y Pawitan, SR Setlur, Y Hoshida, S Perner, HO Adami, K Fall, LA Mucci, PW Kantoff, M Stampfer, SO Andersson, E Varenhorst, JE Johansson, MB Gerstein, TR Golub, MA Rubin, O Andr&#233;n	BMC Med Genomics	20233430	8	3	2010	(2010). <i>BMC Med Genomics</i>&nbsp;3:8.	Molecular sampling of prostate cancer: a dilemma for predicting disease progression.	PMC2855514
ZD Zhang, A Frankish, T Hunt, J Harrow, M Gerstein	Genome Biol	20210993	R26	11	2010	(2010). <i>Genome Biol</i>&nbsp;11:R26.	Identification and analysis of unitary pseudogenes: historic and contemporary gene losses in humans and other primates.	PMC2864566
N Bhardwaj, M Gerstein, H Lu	BMC Bioinformatics	20122235	S6	11 Suppl 1	2010	(2010). <i>BMC Bioinformatics</i>&nbsp;11 Suppl 1:S6.	Genome-wide sequence-based prediction of peripheral proteins using a novel semi-supervised learning technique.	PMC3009533
JQ Wu, L Habegger, P Noisa, A Szekely, C Qiu, S Hutchison, D Raha, M Egholm, H Lin, S Weissman, W Cui, M Gerstein, M Snyder	Proc Natl Acad Sci U S A	20194744	5254-9	107	2010	(2010). <i>Proc Natl Acad Sci U S A</i>&nbsp;107:5254-9.	Dynamic transcriptomes during neural differentiation of human embryonic stem cells revealed by short, long, and paired-end sequencing.	PMC2841935
M Snyder, J Du, M Gerstein	Genes Dev	20194435	423-31	24	2010	(2010). <i>Genes Dev</i>&nbsp;24:423-31.	Personal genome sequencing: current approaches and challenges.	PMC2827837
M Zhong, W Niu, ZJ Lu, M Sarov, JI Murray, J Janette, D Raha, KL Sheaffer, HY Lam, E Preston, C Slightham, LW Hillier, T Brock, A Agarwal, R Auerbach, AA Hyman, M Gerstein, SE Mango, SK Kim, RH Waterston, V Reinke, M Snyder	PLoS Genet	20174564	e1000848	6	2010	(2010). <i>PLoS Genet</i>&nbsp;6:e1000848.	Genome-wide identification of binding sites defines distinct functions for Caenorhabditis elegans PHA-4/FOXA in development and environmental response.	PMC2824807
J Mok, PM Kim, HY Lam, S Piccirillo, X Zhou, GR Jeschke, DL Sheridan, SA Parker, V Desai, M Jwa, E Cameroni, H Niu, M Good, A Remenyi, JL Ma, YJ Sheu, HE Sassi, R Sopko, CS Chan, C De Virgilio, NM Hollingsworth, WA Lim, DF Stern, B Stillman, BJ Andrews, MB Gerstein, M Snyder, BE Turk	Sci Signal	20159853	ra12	3	2010	(2010). <i>Sci Signal</i>&nbsp;3:ra12.	Deciphering protein kinase specificity through large-scale analysis of yeast phosphorylation site motifs.	PMC2846625
D Raha, Z Wang, Z Moqtaderi, L Wu, G Zhong, M Gerstein, K Struhl, M Snyder	Proc Natl Acad Sci U S A	20139302	3639-44	107	2010	(2010). <i>Proc Natl Acad Sci U S A</i>&nbsp;107:3639-44.	Close association of RNA polymerase II and many transcription factors with Pol III genes.	PMC2840497
KY Yip, RP Alexander, KK Yan, M Gerstein	PLoS One	20126643	e8121	5	2010	(2010). <i>PLoS One</i>&nbsp;5:e8121.	Improved reconstruction of in silico gene regulatory networks by integrating knockout and perturbation data.	PMC2811182
HY Lam, XJ Mu, AM St&#252;tz, A Tanzer, PD Cayting, M Snyder, PM Kim, JO Korbel, MB Gerstein	Nat Biotechnol	20037582	47-55	28	2010	(2010). <i>Nat Biotechnol</i>&nbsp;28:47-55.	Nucleotide-resolution analysis of structural variants using BreakSeq and a breakpoint library.	PMC2951730
A Abyzov, R Bjornson, M Felipe, M Gerstein	Proteins	19705487	309-24	78	2009	(2009). <i>Proteins</i>&nbsp;78:309-24.	RigidFinder: a fast and sensitive method to detect rigid blocks in large macromolecular complexes.	
A Canaan, I Haviv, AE Urban, VP Schulz, S Hartman, Z Zhang, D Palejev, AB Deisseroth, J Lacy, M Snyder, M Gerstein, SM Weissman	Proc Natl Acad Sci U S A	20080792	22421-6	106	2010	(2010). <i>Proc Natl Acad Sci U S A</i>&nbsp;106:22421-6.	EBNA1 regulates cellular gene expression by binding cellular promoters.	PMC2799695
D Greenbaum, M Gerstein	Am J Bioeth	19998104	15-9	9	2009	(2009). <i>Am J Bioeth</i>&nbsp;9:15-9.	Social networking and personal genomics: suggestions for optimizing the interaction.	
R Tonikian, X Xin, CP Toret, D Gfeller, C Landgraf, S Panni, S Paoluzi, L Castagnoli, B Currell, S Seshagiri, H Yu, B Winsor, M Vidal, MB Gerstein, GD Bader, R Volkmer, G Cesareni, DG Drubin, PM Kim, SS Sidhu, C Boone	PLoS Biol	19841731	e1000218	7	2009	(2009). <i>PLoS Biol</i>&nbsp;7:e1000218.	Bayesian modeling of the yeast SH3 domain interactome predicts spatiotemporal dynamics of endocytosis proteins.	PMC2756588
YJ Liu, D Zheng, S Balasubramanian, N Carriero, E Khurana, R Robilotto, MB Gerstein	BMC Genomics	19835609	480	10	2009	(2009). <i>BMC Genomics</i>&nbsp;10:480.	Comprehensive analysis of the pseudogenes of glycolytic enzymes in vertebrates: the anomalously high number of GAPDH pseudogenes highlights a recent burst of retrotrans-positional activity.	PMC2770531
A Sboner, A Karpikov, G Chen, M Smith, D Mattoon, M Dawn, L Freeman-Cook, B Schweitzer, MB Gerstein	J Proteome Res	19817483	5451-64	8	2009	(2009). <i>J Proteome Res</i>&nbsp;8:5451-64.	Robust-linear-model normalization to reduce technical variability in functional protein microarrays.	
C Cheng, N Bhardwaj, M Gerstein	BMC Genomics	19751524	431	10	2009	(2009). <i>BMC Genomics</i>&nbsp;10:431.	The relationship between the evolution of microRNA targets and the length of their UTRs.	PMC2758905
Y Arinaminpathy, E Khurana, DM Engelman, MB Gerstein	Drug Discov Today	19733256	1130-5	14	2009	(2009). <i>Drug Discov Today</i>&nbsp;14:1130-5.	Computational analysis of membrane proteins: the largest class of drug targets.	PMC2796609
C Cheng, X Fu, P Alves, M Gerstein	Genome Biol	19723326	R90	10	2009	(2009). <i>Genome Biol</i>&nbsp;10:R90.	mRNA expression profiles show differential regulatory effects of microRNAs between estrogen receptor-positive and estrogen receptor-negative breast cancer.	PMC2768979
RK Auerbach, G Euskirchen, J Rozowsky, N Lamarre-Vincent, Z Moqtaderi, P Lefran&#231;ois, K Struhl, M Gerstein, M Snyder	Proc Natl Acad Sci U S A	19706456	14926-31	106	2009	(2009). <i>Proc Natl Acad Sci U S A</i>&nbsp;106:14926-31.	Mapping accessible chromatin regions using Sono-Seq.	PMC2736440
KY Yip, PM Kim, D McDermott, M Gerstein	BMC Bioinformatics	19656385	241	10	2009	(2009). <i>BMC Bioinformatics</i>&nbsp;10:241.	Multi-level learning: improving the prediction of protein, domain and residue interactions by allowing information flow between levels.	PMC2734556
A Rzhetsky, M Seringhaus, MB Gerstein	PLoS Comput Biol	19649304	e1000411	5	2009	(2009). <i>PLoS Comput Biol</i>&nbsp;5:e1000411.	Getting started in text mining: part two.	PMC2709911
D Pflueger, DS Rickman, A Sboner, S Perner, CJ LaFargue, MA Svensson, BJ Moss, N Kitabayashi, Y Pan, A de la Taille, R Kuefer, AK Tewari, F Demichelis, MS Chee, MB Gerstein, MA Rubin	Neoplasia	19649210	804-11	11	2009	(2009). <i>Neoplasia</i>&nbsp;11:804-11.	N-myc downstream regulated gene 1 (NDRG1) is fused to ERG in prostate cancer.	PMC2713587
X Guo, Z Zhang, MB Gerstein, D Zheng	PLoS Comput Biol	19649160	e1000449	5	2009	(2009). <i>PLoS Comput Biol</i>&nbsp;5:e1000449.	Small RNAs originated from pseudogenes: cis- or trans-acting?	PMC2708354
RP Alexander, PM Kim, T Emonet, MB Gerstein	Sci Signal	19638611	pe44	2	2009	(2009). <i>Sci Signal</i>&nbsp;2:pe44.	Understanding modularity in molecular networks requires dynamics.	PMC4243459
R Sasidharan, A Agarwal, J Rozowsky, M Gerstein	BMC Res Notes	19630981	150	2	2009	(2009). <i>BMC Res Notes</i>&nbsp;2:150.	An approach to comparing tiling array and high throughput sequencing technologies for genomic transcript mapping.	PMC2764720
K Talbert-Slagle, S Marlatt, FN Barrera, E Khurana, J Oates, M Gerstein, DM Engelman, AM Dixon, D Dimaio	J Virol	19605488	9773-85	83	2009	(2009). <i>J Virol</i>&nbsp;83:9773-85.	Artificial transmembrane oncoproteins smaller than the bovine papillomavirus E5 protein redefine sequence requirements for activation of the platelet-derived growth factor beta receptor.	PMC2748040
JO Korbel, T Tirosh-Wagner, AE Urban, XN Chen, M Kasowski, L Dai, F Grubert, C Erdman, MC Gao, K Lange, EM Sobel, GM Barlow, AS Aylsworth, NJ Carpenter, RD Clark, MY Cohen, E Doran, T Falik-Zaccai, SO Lewin, IT Lott, BC McGillivray, JB Moeschler, MJ Pettenati, SM Pueschel, KW Rao, LG Shaffer, M Shohat, AJ Van Riper, D Warburton, S Weissman, MB Gerstein, M Snyder, JR Korenberg	Proc Natl Acad Sci U S A	19597142	12031-6	106	2009	(2009). <i>Proc Natl Acad Sci U S A</i>&nbsp;106:12031-6.	The genetic architecture of Down syndrome phenotypes revealed by high-resolution analysis of human segmental trisomies.	PMC2709665
J Du, RD Bjornson, ZD Zhang, Y Kong, M Snyder, MB Gerstein	PLoS Comput Biol	19593373	e1000432	5	2009	(2009). <i>PLoS Comput Biol</i>&nbsp;5:e1000432.	Integrating sequencing technologies in personal genomics: optimal low cost reconstruction of structural variants.	PMC2700963
